Question ID,Question Text,Subject A,Subject B
Q1,How overrated are Stanley Cups?,Extremely Underrated,Extremely Overrated
Q2,Who is more annoying?,Lifted truck w halogen lights,Grandma going 10 under
Q3,Who could go further professionally if they dedicated a year to it?,Chandler in Golf,Andre in League
Q4,What are you more afraid of?,Failure,Rejection
Q5,Who's better?,Rihanna,Beyonce
Q6,How many Raccoons could you fight at once and still win the battle?,1,10+
Q7,How many Characters from Dragon Ball Z could you recite from memory?,1,10+
Q8,iPhone as your only Apple product or Every Apple Product except iPhone?,iMust have iPhone,Hello Bixby
Q9,Which Emoji do you prefer?,:eggplant:,:peach:
Q10,Who would you rather be as your 3rd man in a 3-way?,Ryan Gosling,Henry Caviill
Q11,Which Battle Royale would you rather play in it's absolute prime?,Fortnite,Warzone
Q12,How overrated is the Stanley Cup?,Not at all,Fuck the cup
Q13,Coldplay or Imagine Dragons?,Coldplay,Imagine Dragons
Q14,Are you more Handy or Handsy?,Handy,Handsy ;)
Q15,Diet soda or regular soda ?,Diet,Regular
Q16,Discord disappears forever. Which do you use instead?,Slack Free,Teams Paid
Q17,Where would you rather receive a $100 monthly gift card for life?,Nordstrom Rack,Taco Bell
Q18,Which holiday would you rather completely abolish?,Halloween,4th of July
Q19,"On a regular night of sex, how many minutes do you usually last from penetration to completion?",1 minute,10+ minutes
Q20,Which sport is harder to master: Baseball or Hockey?,Baseball,Hockey
Q21,How many unique penises have you seen in person?,Less than 10,Countless
Q22,Which state would you rather live in for the rest of your life?,North Dakota,Mississippi
Q23,Which position would you rather Donald Trump to have?,President,Supreme Court Justice
Q24,Rate the Chicken Bake from Costco,Inedible. Ew.,Incredible. Yum.
Q25,Which decade had better music?,90s,2000s
Q26,If you HAD to deep throat a cock - how many inches could you get down?,1 inch,10+ inches
Q27,Rate Selena Gomez hotness,Not hot,Among the hottest
Q28,How many BYLT shirts do you own?,None,Tons
Q29,How many minutes does it take you to get your partner to climax?,1 minute,10+ minutes
Q30,Who would you rather be your dad?,The Rock,Mark Wahlberg
